Timestamp,Tilt_angle
10000000,7.244402975624433e-06
20000000,1.186117078552616e-05
30000000,-9.951360266810164e-06
40000000,-2.8269809223701706e-05
50000000,-4.77741919934201e-05
60000000,-6.836042112488307e-05
70000000,-9.024167257000471e-05
80000000,-0.00011356070421652277
90000000,-0.00013452337300708372
100000000,-0.00015733916418925732
110000000,-0.0001828189660220944
120000000,-0.00021105187917666433
130000000,-0.0002423586737911038
140000000,-0.0002769720199281814
150000000,-0.00031525994749158413
160000000,-0.0003575105463782614
170000000,-0.00040414478660329156
180000000,-0.0004555164587549841
190000000,-0.0005121142971188977
200000000,-0.0005743724673446574
210000000,-0.00064286332184731
220000000,-0.0007181184573800595
230000000,-0.0008008119396550333
240000000,-0.0008915927833377088
250000000,-0.0009912579895757496
260000000,-0.0011005976063056782
270000000,-0.001220556704683214
280000000,-0.001352094360134276
290000000,-0.0014963335601113042
300000000,-0.001654435590106218
310000000,-0.0018277367832513175
320000000,-0.002017640000876178
330000000,-0.0022257371907271695
340000000,-0.0024537198546475307
350000000,-0.0027034861872630785
360000000,-0.002977072105514259
370000000,-0.0032789459761498317
380000000,-0.0036101021876117686
390000000,-0.003971996395120152
400000000,-0.004367673711678483
410000000,-0.004800531484404558
420000000,-0.0052740939656949325
430000000,-0.005792331954126336
440000000,-0.006355905307564453
450000000,-0.006977944363351694
460000000,-0.007659046180700433
470000000,-0.008404944284668613
480000000,-0.009222100051143585
490000000,-0.010117356503524307
500000000,-0.01109831449045812
510000000,-0.012171624028733688
520000000,-0.01333746368522901
530000000,-0.014622119160851287
540000000,-0.01602905967212831
550000000,-0.017570031343976587
560000000,-0.019258322453503413
570000000,-0.021101562599365804
580000000,-0.02312059070325166
590000000,-0.02533803595528789
600000000,-0.02777148602212761
610000000,-0.03042260337434263
620000000,-0.03333609963706155
630000000,-0.03652798286467065
640000000,-0.04002411193313165
650000000,-0.043854841296022656
660000000,-0.048051183803452094
670000000,-0.05264679188890389
680000000,-0.05768262388028056
690000000,-0.06319771722398226
700000000,-0.06924043353401313
710000000,-0.07585787255793429
720000000,-0.08310815613861748
730000000,-0.09104778291343703
740000000,-0.09974584856470908
750000000,-0.10927375064234188
760000000,-0.11970579952338946
770000000,-0.13104367155233396
780000000,-0.14347734181851166
790000000,-0.15709153197502723
800000000,-0.1719210359348282
810000000,-0.18792625688785097
820000000,-0.205221706161221
